,Dynamics,delta,loss,pval
7,SIS,0.0,0.011165446601808071,0.96
8,SIS,0.0,0.018807360902428627,0.89
9,SIS,0.0,0.014277979731559753,0.88
0,SIS,0.1,0.008472771383821964,0.97
1,SIS,0.1,0.013634245842695236,0.9
2,SIS,0.1,0.009011548012495041,0.91
3,SIS,0.1,0.009525144472718239,0.92
4,SIS,0.1,0.007738491054624319,0.89
5,SIS,0.1,0.01915154978632927,0.95
6,SIS,0.1,0.01648317091166973,0.91
7,SIS,0.1,0.01997232437133789,0.88
8,SIS,0.1,0.01430431567132473,0.87
9,SIS,0.1,0.015453982166945934,0.89
0,SIS,0.2,0.031414695084095,0.9
1,SIS,0.2,0.01319802924990654,0.9
2,SIS,0.2,0.01973160170018673,0.82
3,SIS,0.2,0.021163754165172577,0.81
4,SIS,0.2,0.020588349550962448,0.81
5,SIS,0.2,0.01299334317445755,0.97
6,SIS,0.2,0.017828524112701416,0.86
7,SIS,0.2,0.012761911377310753,0.91
8,SIS,0.2,0.021048173308372498,0.83
9,SIS,0.2,0.022099072113633156,0.87
0,SIS,0.30000000000000004,0.020570313557982445,0.88
1,SIS,0.30000000000000004,0.03211456909775734,0.84
2,SIS,0.30000000000000004,0.023909499868750572,0.81
3,SIS,0.30000000000000004,0.0282124150544405,0.86
4,SIS,0.30000000000000004,0.017049089074134827,0.92
5,SIS,0.30000000000000004,0.026118049398064613,0.88
6,SIS,0.30000000000000004,0.02386937104165554,0.92
7,SIS,0.30000000000000004,0.0288575179874897,0.88
8,SIS,0.30000000000000004,0.036181483417749405,0.84
9,SIS,0.30000000000000004,0.0295878853648901,0.87
0,SIS,0.4,0.039280135184526443,0.8
1,SIS,0.4,0.03314400464296341,0.85
2,SIS,0.4,0.03300223499536514,0.84
3,SIS,0.4,0.026932550594210625,0.87
4,SIS,0.4,0.03778202831745148,0.87
5,SIS,0.4,0.02453826554119587,0.91
6,SIS,0.4,0.05136283487081528,0.82
7,SIS,0.4,0.02456153929233551,0.88
8,SIS,0.4,0.03207557648420334,0.83
9,SIS,0.4,0.029705937951803207,0.87
0,SIS,0.5,0.0364091582596302,0.81
1,SIS,0.5,0.025505339726805687,0.84
2,SIS,0.5,0.033323392271995544,0.88
3,SIS,0.5,0.028441373258829117,0.83
4,SIS,0.5,0.03184492886066437,0.92
5,SIS,0.5,0.032674115151166916,0.84
6,SIS,0.5,0.031125444918870926,0.88
7,SIS,0.5,0.03168914467096329,0.92
8,SIS,0.5,0.03164384886622429,0.87
9,SIS,0.5,0.03762027621269226,0.84
0,SIS,0.6000000000000001,0.03716230019927025,0.89
1,SIS,0.6000000000000001,0.05115409195423126,0.8
2,SIS,0.6000000000000001,0.03008057363331318,0.82
3,SIS,0.6000000000000001,0.05104641243815422,0.85
4,SIS,0.6000000000000001,0.04512529447674751,0.84
5,SIS,0.6000000000000001,0.023262983188033104,0.81
6,SIS,0.6000000000000001,0.03468029573559761,0.8
7,SIS,0.6000000000000001,0.039634644985198975,0.87
8,SIS,0.6000000000000001,0.05039651319384575,0.84
9,SIS,0.6000000000000001,0.042874161154031754,0.83
0,SIS,0.7000000000000001,0.04668141528964043,0.86
1,SIS,0.7000000000000001,0.06040932983160019,0.77
2,SIS,0.7000000000000001,0.034790005534887314,0.86
3,SIS,0.7000000000000001,0.03196129575371742,0.84
4,SIS,0.7000000000000001,0.04505935311317444,0.86
5,SIS,0.7000000000000001,0.068708635866642,0.82
6,SIS,0.7000000000000001,0.04767760634422302,0.8
7,SIS,0.7000000000000001,0.05065668746829033,0.8
8,SIS,0.7000000000000001,0.05659191682934761,0.85
9,SIS,0.7000000000000001,0.05196167901158333,0.89
0,SIS,0.8,0.04815400019288063,0.83
1,SIS,0.8,0.051889460533857346,0.84
2,SIS,0.8,0.06601708382368088,0.79
3,SIS,0.8,0.05381733179092407,0.85
4,SIS,0.8,0.04806096479296684,0.76
5,SIS,0.8,0.058068398386240005,0.89
6,SIS,0.8,0.0489029735326767,0.8
7,SIS,0.8,0.049069635570049286,0.85
8,SIS,0.8,0.04572583734989166,0.84
9,SIS,0.8,0.06388555467128754,0.8
0,SIS,0.9,0.07820991426706314,0.84
1,SIS,0.9,0.061941470950841904,0.83
2,SIS,0.9,0.07524365931749344,0.78
3,SIS,0.9,0.053741876035928726,0.8
